Frequency,F/S,classes,,Teacher units needed per yr,WR ,WR who,Env,,Str,,Trans,,Geo,,Extra,,Any,,
1/yr,?,4160/5180,Storytelling for engineers,1,,,,,,,,,,,1,MR?,,,
2/yr,B,CEGE 1101,Engineering for Society: CEGE,2,,,,,,,,,,,2,MA,,,
1/yr,?,CEGE 1201,Emerging Technologies in Trans,1,,,,,,,1,"ML, RS",,,,,,,
2/yr,B,CEGE 1501,Environmental Issues Solutions,2,,,2,"SB, ES",,,,,,,,,,,
2/yr,B,CEGE 3101,Computer Applications I,2,,,,,,,,,,"RB, SG",,,2,,
2/yr,B,CEGE 3102,Uncertainty & Decision Analy,2,,XF,,,,,,ML,,RB ,,,2,,
2/yr,B,CEGE 3103 Dis,Engrg Ethics and Prof Practice,2,,AE,,,,,,,,RB,,,2,,
2/yr,B,CEGE 3201,Transportation Engineering,2,,,,,,,2,"ML, AK, RS",,,,,,,
2/yr,B,CEGE 3402,Civil Engineering Materials,2,,,,,,,,MM ,2,JL,,,,,
2/yr,B,CEGE 3501,Environmental Engineering,2,,,2,"ES, BA, TL, PN",,,,,,,,,,,
1/yr,F,CEGE 3541,Environmental Engineering Lab,1,,,1,ES ,,,,,,,,,,,
2/yr,B,CEGE 3502/4522,Fluid Mechanics and Review,2,2,"JY,MG,KH",,,,,,,,,,,,,
2/yr,B,CEGE 3401,Linear Structural Analysis,2,,,,,2,"JL, QH, KS",,,,,,,,,
2/yr,B,CEGE 4401,Steel Concrete Design,2,,,,,1,"LL, BW, PM",,,,,,,,,
1/yr,S ,CEGE 4411,Matrix Structural Analysis,1,,,,,1,KS,,,,,,,,,
1/2 yr,S ,CEGE 4412,Reinforced Concrete II,0.5,,,,,0.5,BW,,,,,,,,,
1/2 yr,F ,CEGE 4413,Steel Design II,0.5,,,,,0.5,"PM, JL",,,,,,,,,
1/yr,F,CEGE 4416/5416,Sensors in Infrastructure,1,,,,,1,LL ,,,,,,,,,
